"combination","mtry","nodesize","ntree","thr_value","Sens_train","F1_train","B.Accuracy_train","TSS_train","AUC_train","Sens_test","F1_test","B.Accuracy_test","TSS_test","AUC_test"
1218,15,130,3000,0.687317237230477,0.859333333333333,0.25158212068754,0.835107898834322,0.670215797668645,0.835107898834322,0.84,0.24975186647943,0.826818181818182,0.653636363636364,0.826818181818182
1219,2,140,3000,0.625410242742492,0.875333333333333,0.280257015776753,0.853838867146404,0.707677734292808,0.853838867146404,0.898666666666667,0.294280366564072,0.868222222222222,0.736444444444445,0.868222222222222
1220,3,140,3000,0.598977119655902,0.873333333333333,0.274538201229309,0.851020914867651,0.702041829735303,0.851020914867651,0.893333333333333,0.279138511130901,0.860909090909091,0.721818181818182,0.860909090909091
1221,4,140,3000,0.618590381612304,0.895333333333333,0.264050656812296,0.854988974456087,0.709977948912175,0.854988974456087,0.906666666666667,0.26761295027166,0.860808080808081,0.721616161616161,0.860808080808081
1222,5,140,3000,0.58610829512186,0.892666666666667,0.253502087881224,0.84827753229811,0.696555064596221,0.84827753229811,0.896,0.2567030787244,0.851232323232323,0.702464646464647,0.851232323232323
1223,6,140,3000,0.590142697701121,0.894666666666667,0.249030226739788,0.846133989816101,0.692267979632201,0.846133989816101,0.890666666666667,0.248877152514672,0.844727272727273,0.689454545454546,0.844727272727273
1224,7,140,3000,0.601182132235392,0.886666666666667,0.253818974226113,0.846300130454909,0.692600260909818,0.846300130454909,0.890666666666667,0.257632077553536,0.849626262626263,0.699252525252525,0.849626262626263
1225,8,140,3000,0.628738517548073,0.865333333333334,0.263099474153429,0.842867398897446,0.685734797794891,0.842867398897446,0.882666666666667,0.271714622019894,0.85320202020202,0.70640404040404,0.85320202020202
1226,9,140,3000,0.655516249961744,0.838666666666667,0.273867108838832,0.837676976812692,0.675353953625384,0.837676976812692,0.853333333333333,0.283220364407917,0.846818181818182,0.693636363636364,0.846818181818182
1227,10,140,3000,0.620559872143254,0.873333333333333,0.251430737608989,0.839986954509111,0.679973909018222,0.839986954509111,0.874666666666667,0.256769425475958,0.84349494949495,0.686989898989899,0.84349494949495
1228,11,140,3000,0.658986304103564,0.852666666666667,0.264756076771121,0.837897529773177,0.675795059546354,0.837897529773177,0.850666666666667,0.267709583410791,0.839373737373737,0.678747474747475,0.839373737373737
1229,12,140,3000,0.666312374889269,0.855333333333333,0.258257398523211,0.836503934688381,0.673007869376762,0.836503934688381,0.858666666666667,0.261185410184397,0.839383838383839,0.678767676767677,0.839383838383838
1230,13,140,3000,0.67148790590785,0.862666666666667,0.247522386666678,0.833845642385221,0.667691284770442,0.833845642385221,0.853333333333333,0.249219727775667,0.831767676767677,0.663535353535354,0.831767676767677
1231,14,140,3000,0.660600920297822,0.869333333333333,0.247546698189281,0.836446744939612,0.672893489879224,0.836446744939612,0.858666666666667,0.250775312145602,0.834030303030303,0.668060606060606,0.834030303030303
1232,15,140,3000,0.696555853905178,0.857333333333333,0.252259910663087,0.834751756933047,0.669503513866094,0.834751756933047,0.832,0.249570489658839,0.823828282828283,0.647656565656566,0.823828282828283
1233,2,150,3000,0.618235047413118,0.87,0.281545578439501,0.852156924630729,0.704313849261457,0.852156924630729,0.882666666666667,0.289041013728579,0.860373737373737,0.720747474747475,0.860373737373737
1234,3,150,3000,0.595020653585507,0.88,0.26872155213041,0.850642595631864,0.701285191263729,0.850642595631864,0.890666666666667,0.268665418167488,0.854929292929293,0.709858585858586,0.854929292929293
1235,4,150,3000,0.615966631360072,0.891333333333333,0.265852684859171,0.854251441316332,0.708502882632664,0.854251441316332,0.898666666666667,0.270342286597965,0.859181818181818,0.718363636363636,0.859181818181818
1236,5,150,3000,0.598845155189317,0.884,0.265359288792438,0.850307031940412,0.700614063880823,0.850307031940412,0.877333333333333,0.263080890279345,0.846545454545454,0.693090909090909,0.846545454545454
1237,6,150,3000,0.588664679333465,0.894,0.249272650986668,0.845825905819972,0.691651811639944,0.845825905819972,0.888,0.248873721920186,0.843545454545454,0.687090909090909,0.843545454545454
1238,7,150,3000,0.607174940261419,0.882666666666667,0.25578141077129,0.845486849303539,0.690973698607078,0.845486849303539,0.882666666666667,0.25926542458519,0.846939393939394,0.693878787878788,0.846939393939394
1239,8,150,3000,0.628301247805881,0.860666666666667,0.26445227292147,0.842023776459201,0.684047552918402,0.842023776459201,0.869333333333333,0.271042883040675,0.848151515151515,0.69630303030303,0.848151515151515
1240,9,150,3000,0.673004586758161,0.83,0.282541398111455,0.838166266885494,0.676332533770988,0.838166266885494,0.84,0.288483755880797,0.843989898989899,0.687979797979798,0.843989898989899
1241,10,150,3000,0.610520298206555,0.878666666666667,0.247149083182155,0.839042965955477,0.678085931910954,0.839042965955477,0.877333333333333,0.250378743927611,0.840838383838384,0.681676767676768,0.840838383838384
1242,11,150,3000,0.653740685201056,0.856,0.25865361265834,0.837026638050751,0.674053276101502,0.837026638050751,0.848,0.260683749526495,0.835464646464646,0.670929292929293,0.835464646464646
1243,12,150,3000,0.626042853841873,0.878,0.244139495287125,0.838141522535033,0.676283045070067,0.838141522535034,0.885333333333333,0.250370443317401,0.844383838383838,0.688767676767677,0.844383838383838
1244,13,150,3000,0.666216747908288,0.858,0.251056973362598,0.834466481504861,0.668932963009721,0.834466481504861,0.850666666666667,0.253540511670398,0.832808080808081,0.665616161616162,0.832808080808081
1245,14,150,3000,0.655819133909422,0.87,0.248606496331252,0.837348188360056,0.674696376720111,0.837348188360056,0.856,0.251013247142451,0.833252525252525,0.66650505050505,0.833252525252525
1246,15,150,3000,0.683947244020516,0.866,0.246068324579469,0.834249842191642,0.668499684383285,0.834249842191642,0.850666666666667,0.244868335013039,0.827909090909091,0.655818181818182,0.827909090909091
1247,2,160,3000,0.621818310416549,0.863333333333333,0.288171809088701,0.852535243866515,0.70507048773303,0.852535243866515,0.882666666666667,0.297058922015065,0.863606060606061,0.727212121212121,0.863606060606061
1248,3,160,3000,0.59617395152147,0.881333333333333,0.267158572915817,0.850337162816143,0.700674325632286,0.850337162816143,0.882666666666667,0.268319132847326,0.851181818181818,0.702363636363636,0.851181818181818
1249,4,160,3000,0.62457457924258,0.888666666666667,0.27118110231691,0.855518789715103,0.711037579430207,0.855518789715103,0.890666666666667,0.273270056599593,0.857050505050505,0.71410101010101,0.857050505050505
1250,5,160,3000,0.60559709429146,0.877333333333333,0.265841989715942,0.848741152211421,0.697482304422842,0.848741152211421,0.885333333333333,0.268942460797435,0.853424242424242,0.706848484848485,0.853424242424242
1251,6,160,3000,0.597617086284512,0.886,0.252792666082899,0.845651180406514,0.691302360813029,0.845651180406514,0.885333333333334,0.255384620298775,0.846858585858586,0.693717171717172,0.846858585858586
1252,7,160,3000,0.638024724510373,0.862666666666666,0.268694221788235,0.844917476749569,0.689834953499137,0.844917476749569,0.864,0.272939537811845,0.84679797979798,0.69359595959596,0.84679797979798
1253,8,160,3000,0.629289485574276,0.857333333333333,0.265027124491253,0.840533855152969,0.681067710305938,0.840533855152969,0.866666666666667,0.271689987869761,0.847121212121212,0.694242424242424,0.847121212121212
1254,9,160,3000,0.665984632610187,0.835333333333333,0.279936853874419,0.839166477296638,0.678332954593275,0.839166477296638,0.845333333333333,0.284895846341497,0.844888888888889,0.689777777777778,0.844888888888889
1255,10,160,3000,0.625329438567313,0.867333333333333,0.252635681750004,0.838262046037958,0.676524092075916,0.838262046037958,0.872,0.259311824625715,0.843929292929293,0.687858585858586,0.843929292929293
1256,11,160,3000,0.667991871981828,0.848666666666666,0.266487058745156,0.838207844127425,0.67641568825485,0.838207844127425,0.845333333333333,0.271389323328713,0.839080808080808,0.678161616161616,0.839080808080808
1257,12,160,3000,0.690613270890737,0.851333333333333,0.263625289107383,0.837887345873838,0.675774691747675,0.837887345873838,0.84,0.263589616108886,0.833636363636364,0.667272727272727,0.833636363636364
1258,13,160,3000,0.676015111499341,0.856,0.252929134280142,0.8341860876152,0.6683721752304,0.8341860876152,0.842666666666667,0.252987445747755,0.829060606060606,0.658121212121212,0.829060606060606
1259,14,160,3000,0.656182568776901,0.866,0.249071499929932,0.835954172452973,0.671908344905946,0.835954172452973,0.856,0.252757386086663,0.834060606060606,0.668121212121212,0.834060606060606
